도서관명,구분,시군구,개관년도,주소,상세주소,위도,경도,전화번호,홈페이지,개관시간,휴관일,국내서_총류,국내서_철학,국내서_종교,국내서_사회과학,국내서_순수과학,국내서_기술과학,국내서_예술,국내서_언어,국내서_문학,국내서_역사,국내서_합계,국외서_총류,국외서_철학,국외서_종교,국외서_사회과학,국외서_순수과학,국외서_기술과학,국외서_예술,국외서_언어,국외서_문학,국외서_역사,국외서_합계,연간증가자료수_도서자료_구입,연간증가자료수_도서자료_기증,연간증가자료수_전자자료_구입,연간증가자료수_전자자료_기증,면적_도서관 서비스 제공 면적,좌석수_총 좌석수,좌석수_어린이 열람석,좌석수_노인 및 장애인 열람석,설비_이용자용컴퓨터수,연령별 회원등록자 수_어린이,연령별 회원등록자 수_청소년,연령별 회원등록자 수_성인,가족단위회원등록자수,이용자수_도서관방문자수,인쇄자료_대출_어린이,인쇄자료_대출_청소년,인쇄자료_대출_성인,인쇄자료_대출_합계,전자자료_이용_어린이,전자자료_이용_청소년,전자자료_이용_성인,전자자료_이용_합계,인쇄자료_어린이_총류,인쇄자료_어린이_철학,인쇄자료_어린이_종교,인쇄자료_어린이_사회과학,인쇄자료_어린이_순수과학,인쇄자료_어린이_기술과학,인쇄자료_어린이_예술,인쇄자료_어린이_언어,인쇄자료_어린이_문학,인쇄자료_어린이_역사,인쇄자료_어린이_합계,인쇄자료_청소년_총류,인쇄자료_청소년_철학,인쇄자료_청소년_종교,인쇄자료_청소년_사회과학,인쇄자료_청소년_순수과학,인쇄자료_청소년_기술과학,인쇄자료_청소년_예술,인쇄자료_청소년_언어,인쇄자료_청소년_문학,인쇄자료_청소년_역사,인쇄자료_청소년_합계,인쇄자료_성인_총류,인쇄자료_성인_철학,인쇄자료_성인_종교,인쇄자료_성인_사회과학,인쇄자료_성인_순수과학,인쇄자료_성인_기술과학,인쇄자료_성인_예술,인쇄자료_성인_언어,인쇄자료_성인_문학,인쇄자료_성인_역사,인쇄자료_성인_합계,전자자료_어린이_총류,전자자료_어린이_철학,전자자료_어린이_종교,전자자료_어린이_사회과학,전자자료_어린이_순수과학,전자자료_어린이_기술과학,전자자료_어린이_예술,전자자료_어린이_언어,전자자료_어린이_문학,전자자료_어린이_역사,전자자료_어린이_합계,전자자료_청소년_총류,전자자료_청소년_철학,전자자료_청소년_종교,전자자료_청소년_사회과학,전자자료_청소년_순수과학,전자자료_청소년_기술과학,전자자료_청소년_예술,전자자료_청소년_언어,전자자료_청소년_문학,전자자료_청소년_역사,전자자료_청소년_합계,전자자료_성인_총류,전자자료_성인_철학,전자자료_성인_종교,전자자료_성인_사회과학,전자자료_성인_순수과학,전자자료_성인_기술과학,전자자료_성인_예술,전자자료_성인_언어,전자자료_성인_문학,전자자료_성인_역사,전자자료_성인_합계,어린이실,어린이 서비스 이용수,어린이 자료(인쇄)수,어린이 연간 증가 자료(인쇄)수,전자저널,전자도서,오디오북,웹데이터베이스,전자_기타,전자자료_합계,인쇄자료_합계,총류,철학,종교,사회과학,순수과학,기술과학,예술,언어,문학,역사
4.19 혁명기념 도서관,공공(일반),종로구,2000-01-01,서울특별시 종로구 새문안로 17 (평동),4.19혁명기념도서관,37.5675109,126.9655318,02-730-4190,http://library.419revolution.org,"실별, 요일별 상이",공휴일 및 관장 지정 휴관일,1201,1819,832,6444,1675,2223,2029,1376,11725,13423,42747,0,1,1,13,0,4,0,0,48,55,122,1428,0,0,0,6100.19,177,12.0,0,2,458,902,5584,-1.0,11350,85,48,524,657,0,0,0,0,38,25,0,264,123,85,8,56,898,240,1737,13,5,0,59,5,7,6,8,124,46,273,250,570,84,821,350,321,220,312,3001,786,6715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,유,89.0,8725.0,645.0,0,108582,0,0,0,108582,42869,1201,1820,833,6457,1675,2227,2029,1376,11773,13478
가락몰도서관,공공(일반),송파구,2016-01-01,서울특별시 송파구 양재대로 932 (가락동),가락몰 업무동 4층,37.49467422,127.1086491,02-3435-0950,http://www.splib.or.kr/spalib/,09:00 ~ 18:00,매주 월요일 및 법정공휴일,1231,1799,488,6198,1986,5248,990,421,17591,2544,38496,0,0,0,24,1,20,0,11,833,20,909,1107,1033,0,0,493.0,81,30.0,0,4,473,434,6736,-1.0,47924,1081,515,6869,8465,136,68,477,681,127,134,56,887,985,606,112,149,6914,810,10780,64,74,21,225,186,197,36,14,1463,253,2533,727,2063,371,5319,2718,3876,781,500,25372,3430,45157,38,95,2,338,36,65,17,26,537,33,1187,19,48,1,169,18,33,9,13,268,17,595,134,333,8,1182,125,229,60,92,1878,116,4157,유,12355.0,15632.0,1051.0,0,139882,567,0,503,140952,39405,1231,1799,488,6222,1987,5268,990,432,18424,2564
가양도서관,공공(일반),강서구,2015-01-01,서울특별시 강서구 양천로61길 101 (가양동),강서구립가양도서관,37.55994851,126.8655346,02-3665-8797,http://lib.gangseo.seoul.kr,"어린이자료실=월~목·토~일 9:00~18:00 / 종합자료실=월~목·토 9:00~22:00, 일 9:00~18:00 / 학습열람실=월~목·토~일 7:00~22:00","매주 금요일, 일요일을 제외한 법정 공휴일",3298,3681,1249,10907,3917,5713,3271,1687,28031,4585,66339,0,7,3,179,29,6,3,15,641,13,896,4324,620,871,0,1348.42,474,98.0,7,12,979,972,28733,-1.0,288634,10520,3876,73773,88169,886,948,15694,17528,551,377,217,1542,2315,894,431,401,12888,1806,21422,209,245,60,831,578,343,268,95,3570,432,6631,4345,7039,1740,20373,7319,8204,4070,2587,59212,8948,123837,138,34,162,843,970,684,236,1367,1982,532,6948,571,266,11,589,148,506,341,437,1204,134,4207,5623,11927,1007,27516,2852,10378,3278,7646,33083,4690,108000,유,55762.0,23538.0,1917.0,2012,157038,3150,0,0,162200,67235,3298,3688,1252,11086,3946,5719,3274,1702,28672,4598
가온도서관,공공(일반),중구,2008-01-01,서울특별시 중구 동호로14길 18 (신당동),가온도서관,37.5563848,127.0108371,02-2230-2921,https://www.junggulib.or.kr,09:00~22:00,"매주 월요일, 법정공휴일",2095,4500,1499,11983,5051,5305,3333,1505,35293,5893,76457,44,22,16,196,190,39,17,1148,3700,77,5449,4277,40,1687,0,682.67,121,33.0,0,2,1224,306,29063,-1.0,139840,1739,548,19009,21296,0,0,297,297,112,156,65,533,714,292,139,529,5114,732,8386,50,90,17,179,163,107,40,58,1408,148,2260,1274,3737,860,8791,2905,3369,1983,1750,31602,3879,60150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,229,20,593,72,84,33,42,1031,93,2225,유,2584.0,35778.0,2037.0,0,172763,0,0,0,172763,81906,2139,4522,1515,12179,5241,5344,3350,2653,38993,5970
갈산도서관,공공(일반),양천구,2014-01-01,서울특별시 양천구 목동남로4길 48-6 (신정동),갈산도서관,37.50886171,126.8673116,02-2645-5919,https://lib.yangcheon.or.kr/libgalsan/,"평일 오전9시~오후10시, 주말 오전9시~오후6시","매주 월요일, 법정공휴일",1809,2403,704,7418,4880,3606,1602,922,21411,3359,48114,95,1,0,89,35,13,0,986,1445,111,2775,4918,27,2362,0,1006.99,95,25.0,4,4,1028,1524,13501,-1.0,153971,14119,3281,50703,68103,21,10,798,829,547,538,344,2031,2643,1007,407,1353,14305,1937,25112,150,229,67,644,711,290,156,152,2476,559,5434,2143,3597,1124,11549,6923,4842,1702,3309,40301,6003,81493,35,56,34,151,7,36,4,44,303,110,780,17,26,16,72,3,17,2,21,144,53,371,1342,2117,1286,5749,281,1364,155,1684,11517,4199,29694,유,15582.0,29257.0,2228.0,0,145631,4910,0,60000,210541,50889,1904,2404,704,7507,4915,3619,1602,1908,22856,3470
강남구립개포하늘꿈도서관,공공(일반),강남구,2023-01-01,서울특별시 강남구 개포로110길 54 (일원동),개포하늘꿈도서관,37.49066929,127.0803569,02-451-1511,https://library.gangnam.go.kr/hnkklib,평일 09:00~22:00 / 주말 09:00~17:00,매주 화요일 및 법정공휴일,987,1351,437,3760,2896,1743,816,695,15968,2172,30825,6,23,18,34,22,19,32,27,895,52,1128,5449,315,2845,0,1540.88,170,92.0,8,19,1075,492,7947,-1.0,255136,3862,1322,16382,21566,1,26,1168,1195,2542,1966,1297,7648,12708,4549,2013,3028,55849,7756,99356,718,585,241,1974,2263,944,399,659,11839,1929,21551,6487,8576,2741,24785,19551,11695,4653,5819,102256,14818,201381,7,7,1,18,3,10,3,2,21,4,76,5,13,0,29,17,8,2,2,69,5,150,810,1759,202,3720,366,941,334,376,11810,545,20863,유,79231.0,17579.0,3197.0,0,360106,5595,0,22,365723,31953,993,1374,455,3794,2918,1762,848,722,16863,2224
강동구립강일도서관,공공(일반),강동구,2009-01-01,서울특별시 강동구 아리수로93길 9-14 (강일동),"강일동복합청사 4층, 5층",37.56504077,127.1739073,02-427-4004,https://www.gdlibrary.or.kr,"종합자료실,어린이자료실,디지털자료실,일반열람실: (평일)09:00~18:00,(주말)09:00~17:00",매주 화요일 및 법정 공휴일,3048,4004,1495,12729,7338,5928,3297,2182,38617,7587,86225,73,72,38,457,227,87,53,4680,2899,157,8743,4724,52,629,4,720.9,214,50.0,5,13,2599,3486,36692,-1.0,329313,2451,681,10283,13415,25,91,5026,5142,1270,861,1188,3601,7710,2458,867,11566,40382,6140,76043,158,210,56,662,944,341,188,557,3496,552,7164,3154,5272,1824,15956,11370,7309,2605,12810,75189,10328,145817,277,188,259,784,1679,535,189,2519,8795,1337,16562,34,46,12,144,206,74,41,121,761,120,1559,687,1148,397,3475,2476,1592,567,2790,16376,2249,31757,유,127550.0,50762.0,2140.0,0,13477,731,0,0,14208,94968,3121,4076,1533,13186,7565,6015,3350,6862,41516,7744
강동구립둔촌도서관,공공(일반),강동구,2020-01-01,서울특별시 강동구 동남로49길 21-8 (둔촌동),강동구립 둔촌도서관,37.53178679,127.1481604,02-489-6557,https://www.gdlibrary.or.kr/,"평일 09:00~18:00 토,일09:00~17:00","매주 화요일, 법정공휴일",1169,2511,587,6279,2651,3239,1503,941,19102,2473,40455,0,10,4,27,16,4,2,476,355,3,897,4838,74,629,4,883.71,214,71.0,1,7,727,301,4622,-1.0,101131,1642,572,9143,11357,25,91,5026,5142,717,639,330,2385,2651,1259,361,1810,19324,2300,31776,139,216,30,556,357,349,80,146,2825,268,4966,2325,5684,992,15091,6403,6561,1982,3818,49327,6123,98306,493,226,170,1075,1683,514,156,255,6868,980,12420,32,54,22,131,143,56,18,17,549,94,1116,1296,1743,436,6076,3263,2681,721,829,16945,2357,36347,유,9695.0,16316.0,2001.0,0,13477,731,0,0,14208,41352,1169,2521,591,6306,2667,3243,1505,1417,19457,2476
강동구립성내도서관,공공(일반),강동구,2007-01-01,서울특별시 강동구 성안로 106-1 (성내동),강동구립성내도서관,37.53284547,127.133343,02-471-0044,https://www.gdlibrary.or.kr/web/index.do,"본관 평일 9:00~18:00, 별관 평일 9:00~22:00, 주말 9:00~17:00","매주 월요일, 법정공휴일",2539,4049,1299,13157,5125,6254,3042,2446,33791,6338,78040,0,3,2,103,49,9,6,6350,601,18,7141,4561,90,629,4,1169.92,208,115.0,3,18,856,2189,54223,-1.0,296760,1744,629,11118,13491,25,91,5026,5142,381,469,509,2142,2571,1357,307,4924,18840,2189,33689,98,139,61,493,445,332,47,365,3141,348,5469,2255,5784,1499,16707,6179,7146,2125,8481,60312,9202,119690,120,147,160,673,807,426,96,1546,5916,687,10578,31,44,19,155,140,104,15,115,986,109,1718,708,1816,471,5246,1940,2244,667,2663,18939,2890,37584,유,10996.0,40265.0,1884.0,0,13477,731,0,6,14214,85181,2539,4052,1301,13260,5174,6263,3048,8796,34392,6356
강동구립암사도서관,공공(일반),강동구,2010-01-01,서울특별시 강동구 고덕로20길 42 (암사동),강동구립암사도서관,37.55283302,127.1333655,02-429-0476,https://www.gdlibrary.or.kr,자료실별로 상이,"매주 월요일, 법정 공휴일",2697,4814,1497,13343,6112,6588,5095,1934,37750,7164,86994,74,18,30,165,298,84,106,4868,3589,234,9466,4306,73,629,4,1069.22,315,50.0,5,17,1209,2469,33851,-1.0,426525,1900,774,10942,13616,25,91,5026,5142,819,630,706,3127,5105,1742,1166,5073,25750,3727,47845,150,268,122,728,909,373,173,403,4459,749,8334,3143,6525,1965,18467,10772,8296,5246,8375,69864,9428,142081,206,159,178,787,1284,438,293,1276,6479,938,12038,38,67,31,183,229,94,44,101,1122,188,2097,791,1642,494,4646,2710,2087,1320,2107,17578,2372,35747,유,81608.0,40723.0,1508.0,0,13477,731,0,0,14208,96460,2771,4832,1527,13508,6410,6672,5201,6802,41339,7398
강동구립천호도서관,공공(일반),강동구,2017-01-01,서울특별시 강동구 성안로31마길 1 (천호동),2층 강동구립 천호도서관,37.54052322,127.1340815,02-488-7223,https://www.gdlibrary.or.kr/,평일 09:00~18:00 주말 09:00~17:00,"매주 월요일, 법정공휴일",2561,2865,610,8800,4184,5929,1435,982,24510,3855,55731,0,0,0,6,1,4,0,206,259,3,479,4471,59,629,4,661.94,138,51.0,1,16,849,481,5544,-1.0,181300,1734,535,9260,11529,25,91,5026,5142,1279,586,442,2790,4368,1335,406,661,17831,2543,32241,82,139,58,340,370,146,48,43,1426,244,2896,3364,4526,1132,15773,8472,6961,1873,2151,43990,6118,94360,493,226,170,1075,1683,514,156,255,6868,980,12420,32,54,22,131,143,56,18,17,549,94,1116,1296,1743,436,6076,3263,2681,721,829,16945,2357,36347,유,2944.0,27354.0,1910.0,0,13477,731,0,0,14208,56210,2561,2865,610,8806,4185,5933,1435,1188,24769,3858
강동구립해공도서관,공공(일반),강동구,2008-01-01,서울특별시 강동구 올림픽로 702,강동구립해공도서관,37.54394767,127.1255384,02-478-9656,http://www.gdlibrary.or.kr,자료실별로 상이,매주 화요일 및 법정 공휴일,2780,5357,1949,13783,5604,6695,3782,2270,37072,5826,85118,32,20,40,164,118,37,19,2271,2733,42,5476,4532,54,629,4,1023.95,297,42.0,3,13,724,2002,66291,-1.0,350107,2019,632,12741,15392,40,117,4990,5147,661,608,656,2132,3802,1250,491,2607,18240,2813,33260,111,192,126,451,491,217,94,204,2483,384,4753,3062,8298,2401,20155,8762,7748,3531,5736,62478,8733,130904,195,180,194,630,1123,369,145,770,5386,831,9823,33,57,37,133,145,64,28,60,733,113,1403,904,2450,709,5952,2587,2288,1043,1694,18450,2579,38656,유,171050.0,34855.0,1473.0,0,13477,731,0,0,14208,90594,2812,5377,1989,13947,5722,6732,3801,4541,39805,5868
강북문화정보도서관,공공(일반),강북구,2001-01-01,서울특별시 강북구 오현로 145 (번동),(강북문화정보도서관),37.6251151,127.0360795,02-944-3100,https://www.gblib.or.kr/gangbuk/index.do,07:00~22:00,"매월 둘째, 넷째 월요일",7401,10114,4828,37237,14086,15692,10666,4450,68654,17229,190357,2,14,9,73,25,13,16,7818,570,12,8552,9593,56,479,0,2458.55,488,104.0,4,27,2778,2988,40545,-1.0,230516,1477,943,12353,14773,24,16,40,80,979,1030,651,3734,7072,1988,1150,5722,24824,4785,51935,339,387,112,1010,1266,752,317,896,6607,1257,12943,5583,10580,3376,28191,15211,12448,6411,11884,86731,14057,194472,21,102,6,274,8,28,8,28,432,35,942,14,68,4,183,6,19,6,19,288,23,630,35,170,11,457,14,46,14,47,720,58,1572,유,21693.0,80924.0,3192.0,0,5605,396,0,1,6002,198909,7403,10128,4837,37310,14111,15705,10682,12268,69224,17241
